epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,975.389,0.84833,2.28145,2.59636,1.54453,0.73833,0.44554,0.61013,0.38479,0.58886,0.35965,0.44743,0.33072,1.21512,1.94434,2.88024,2.18952,0.000651163,0.000651163,0.000651163
2,1782.89,0.75844,1.18786,1.93846,1.45141,0.58132,0.78947,0.69276,0.414,0.49089,0.66667,0.54289,0.3649,0.9343,2.69251,2.05727,1.79657,0.00118736,0.00118736,0.00118736
3,2642.11,0.76614,1.20567,1.69347,1.47192,0.59309,0.64035,0.66644,0.47049,0.41349,0.64317,0.55328,0.40436,0.97392,3.68436,2.2839,1.86083,0.00159157,0.00159157,0.00159157
4,3478.8,0.70668,1.0716,1.48503,1.38857,0.56865,0.71698,0.61613,0.42861,0.51775,0.64039,0.51415,0.37857,1.12696,2.3072,1.77213,1.77036,0.001406,0.001406,0.001406
5,4305.34,0.6874,1.0792,1.26484,1.38,0.72342,0.78008,0.77983,0.57776,0.68472,0.73684,0.72297,0.59628,0.85583,1.07365,1.41593,1.47704,0.001208,0.001208,0.001208
6,5132.92,0.58495,0.87009,1.18502,1.25369,0.81133,0.79218,0.87346,0.69816,0.70921,0.78947,0.81645,0.70175,0.69297,1.1004,1.09917,1.25221,0.00101,0.00101,0.00101
7,5964.41,0.52327,0.73153,1.05496,1.18704,0.79475,0.81519,0.85091,0.6852,0.72102,0.77082,0.76898,0.63953,0.66036,1.07253,1.11055,1.21062,0.000812,0.000812,0.000812
8,6792.81,0.48471,0.71907,0.93259,1.18811,0.79692,0.83333,0.83769,0.69163,0.75759,0.81579,0.79283,0.70753,0.57475,0.59481,1.01149,1.10994,0.000614,0.000614,0.000614
9,7627.29,0.39981,0.55418,0.86309,1.08476,0.67104,0.85965,0.80025,0.71209,0.66896,0.85965,0.77493,0.72954,0.47321,0.5174,0.95054,1.02666,0.000416,0.000416,0.000416
10,8456.3,0.3572,0.48744,0.81742,1.05732,0.72068,0.91228,0.85346,0.75041,0.68576,0.89474,0.80105,0.75462,0.42633,0.45359,0.88168,0.9498,0.000218,0.000218,0.000218
